 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Test Fixture Nails     1573/1573  Selected Drills           26-January-2015 11:22
                        1573 Nails,  2540 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$132      1.9137   10.5033   1  B1   (B)  #872  SATA_RXP2        T PIN TB_TP1492.1
$133      1.9297   10.6183   1  B1   (B)  #866  SATA_TXP2        T PIN TB_TP50.1
$134      2.0917   10.5033   1  B1   (B)  #870  SATA_RXN2        T PIN TB_TP1414.1
$135      2.5397   10.3543   1  C1   (B)  #485  GPU_RST#         T PIN TB_TP600.1
$136      2.8757    9.9623   1  C1   (B)  #483  DGPU_PWR_EN      T PIN TB_TP1339.1
$137      2.9187    9.7753   1  C1   (B)  #71   STRAP3           T PIN TB_TP1125.1
$138      2.9017    9.5943   1  C1   (B)  #343  XTALOUT_BUF      T PIN TB_TP434.1
$139      2.8677    9.5113   1  C1   (B)  #566  SYS_PEX_RST_MON# T PIN TB_TP302.1
$140      3.0137    9.6863   3  C1   (B)  #218  STRAP1           T PIN TB_TP1212.1
$141      3.0647    9.6303   1  C1   (B)  #216  STRAP2           T PIN TB_TP1219.1
$142      3.1277    9.5223   1  C1   (B)  #561  CEC              T PIN TB_TP74.1
$143      3.1047    9.4273   1  C1   (B)  #559  ROM_SO           T PIN TB_TP1058.1
$144      2.9787    9.3863   1  C1   (B)  #155  ROM_SCLK         T PIN TB_TP1134.1
$145      2.9107    9.3723   3  C1   (B)  #564  GPU_EVENT#       T PIN TB_TP736.1
$146      2.9867    9.2193   1  C1   (B)  #1548 MEM_VREF_CTL     T PIN TB_TP634.1
$147      3.1227    9.1343   2  C1   (B)  #1406 N17583549        T PIN TB_TP1335.1
$148      3.1257    9.0603   2  C1   (B)  #1521 VGA_SMB1_CLK     T PIN TB_TP648.1
$149      3.3987    9.3303   3  C1   (B)  #342  STRAP0           T PIN TB_TP1042.1
$150      3.4627    9.3063   2  C1   (B)  #560  STRAP4           T PIN TB_TP1050.1
$151      3.4367    9.2403   2  C1   (B)  #1625 GPU_BUFRST#      T PIN T7603.1
$152      3.4167    9.1483   1  C1   (B)  #1487 NVDD_PWM_VID     T PIN TB_TP701.1
$153      3.5267    9.0853   2  C1   (B)  #1401 N17583787        T PIN TB_TP1112.1
$154      3.5967    9.0933   2  C1   (B)  #1624 SNN_3V3AUX       T PIN T7602.1
$155      3.5397    9.2413   1  C1   (B)  #1622 N17583757        T PIN T7506.1
$156      3.5617    9.3233   2  C1   (B)  #1623 ROM_CS#          T PIN T7601.1
$157      3.4887    9.4873   1  C1   (B)  #1865 FBB_DQS_WP1      T PIN TB_TP1204.1
$158      3.6477    9.4163   2  C1   (B)  #1785 FBB_D1           T PIN TB_TP192.1
$159      3.6477    9.4803   3  C1   (B)  #1805 FBB_D28          T PIN TB_TP81.1
$160      3.6477    9.5433   2  C1   (B)  #1867 FBB_DQS_WP3      T PIN TB_TP1189.1
$161      3.7157    9.5113   3  C1   (B)  #1802 FBB_D25          T PIN TB_TP90.1
$162      3.7677    9.4953   3  C1   (B)  #195  N21004363        T PIN TB_TP1060.1
$163      3.7457    9.4483   3  C1   (B)  #207  FBB_CLK0         T PIN TB_TP974.1
$164      3.8097    9.4483   2  C1   (B)  #1760 FBB_CMD0         T PIN TB_TP1037.1
$165      3.8097    9.3843   3  C1   (B)  #1840 FBB_D6           T PIN TB_TP160.1
$166      3.7737    9.3293   2  C1   (B)  #197  FBB_DEBUG0       T PIN TB_TP335.1
$167      3.9447    9.3823   1  C1   (B)  #1773 FBB_CMD25        T PIN TB_TP214.1
$168      4.0247    9.3643   3  C1   (B)  #196  FBB_DEBUG1       T PIN TB_TP331.1
$169      4.0417    9.4163   3  C1   (B)  #209  FBB_CLK1         T PIN TB_TP953.1
$170      3.9907    9.4943   1  C1   (B)  #194  N21004361        T PIN TB_TP1052.1
$171      4.0727    9.5113   3  C1   (B)  #1839 FBB_D59          T PIN TB_TP1423.1
$172      4.1397    9.5113   2  C1   (B)  #1842 FBB_D61          T PIN TB_TP1410.1
$173      4.1067    9.4473   2  C1   (B)  #1868 FBB_DQS_WP4      T PIN TB_TP1181.1
$174      4.1397    9.3843   2  C1   (B)  #1813 FBB_D35          T PIN TB_TP53.1
$175      4.2217    9.3673   2  C1   (B)  #189  FB_CAL_PU        T PIN TB_TP1359.1
$176      4.2127    9.3073   3  C1   (B)  #118  FB_CAL_PD        T PIN TB_TP1367.1
$177      4.2787    9.3123   2  C1   (B)  #1617 FB_VREF          T PIN T7103.1
$178      4.3067    9.0553   3  C1   (B)  #542  FBA_CMD2         T PIN TB_TP565.1
$179      4.3397    9.0173   3  C1   (B)  #1649 FBA_CMD10        T PIN TB_TP997.1
$180      4.4017    9.0523   3  C1   (B)  #1651 FBA_CMD12        T PIN TB_TP1066.1
$181      4.4627    9.0793   1  C1   (B)  #193  N20998932        T PIN TB_TP44.1
$182      4.4347    9.1503   3  C1   (B)  #1690 FBA_D25          T PIN TB_TP1233.1
$183      4.3877    9.1113   2  C1   (B)  #190  FBA_DEBUG0       T PIN TB_TP835.1
