 K52JR-R20        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1702/1536 Selected Drills           3-Nov-2009 18:16
                       1702 Nails, 1809 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$80       -2.9650   0.2869   1  C1   (B)  #1325 N43963869          V VIA .
$81       -2.6750   0.0519   1  C2   (B)  #945  L_BKLTCTL_PCH      V VIA .
$82       -2.9950   0.0319   1  C1   (B)  #257  USB_PN1            V VIA .
$83       -3.0600   -0.0631  1  D1   (B)  #252  USB_PP0            V VIA .
$84       -3.1350   0.0619   1  C1   (B)  #1036 N26912769          V VIA .
$85       -3.0850   0.2419   1  C1   (B)  #111  +3VS               V VIA .
$86       -3.2850   0.1369   1  C1   (B)  #1524 +3VM_SPI_WP1#      V VIA .
$87       -3.3400   -0.0381  1  D1   (B)  #1439 EC_SO_PCH          V VIA .
$88       -3.2600   -0.0331  2  D1   (B)  #1442 EC_SCE#_PCH        V VIA .
$89       -3.2000   0.0119   2  C1   (B)  #1523 +3VM_SPI_11        V VIA .
$90       -3.1950   -0.0881  1  D1   (B)  #1440 EC_SI_PCH          V VIA .
$91       -3.2150   -0.2631  2  D1   (B)  #1511 SPISO1_R           V VIA .
$92       -3.1800   -0.1981  2  D1   (B)  #1510 SPI_CS#0           V VIA .
$93       -3.1100   -0.1381  2  D1   (B)  #1437 EC_SCK_PCH         V VIA .
$94       -3.0750   -0.1981  2  D1   (B)  #273  SATA_TXP0_C        V VIA .
$95       -3.0350   -0.2631  2  D1   (B)  #1712 TP_VSS_NCTF13      V PIN T2543.1
$96       -2.8350   -0.3731  1  D1   (B)  #1265 +VTT_PCH_ORG       V VIA .
$97       -2.6750   -0.3881  1  D2   (B)  #1381 DMI_COMP           V VIA .
$98       -2.6250   -0.6331  1  D2   (B)  #978  +VTT_PCH_VCCIO     V VIA .
$99       -2.7500   -0.6281  1  D1   (B)  #1779 DMI_RXN1           V VIA .
$100      -2.8310   -0.6267  2  D1   (B)  #1775 DMI_TXP1           V VIA .
$101      -2.8850   -0.5631  2  D1   (B)  #1095 +VTT_PCH_VCCAPLL_FDI V VIA.
$102      -2.9410   -0.6031  2  D1   (B)  #1795 FDI_TXP1           V VIA .
$103      -3.0000   -0.5681  2  D1   (B)  #1789 FDI_TXN3           V VIA .
$104      -3.0850   -0.5411  2  D1   (B)  #1425 N828307            V VIA .
$105      -3.1280   -0.4871  2  D1   (B)  #1721 TP_VSS_NCTF21      V PIN T2552.1
$106      -3.0860   -0.4031  2  D1   (B)  #1723 TP_VSS_NCTF23      V PIN T2554.1
$107      -3.1100   -0.3331  2  D1   (B)  #1123 SATA_TXP0          V VIA .
$108      -3.2260   -0.3431  1  D1   (B)  #1438 SPI_SO             V VIA .
$109      -3.1550   -0.4181  2  D1   (B)  #1720 TP_VSS_NCTF20      V PIN T2551.1
$110      -3.2140   -0.4791  2  D1   (B)  #1672 SB_SPICS1#         V PIN T2011.1
$111      -3.1750   -0.5381  2  D1   (B)  #1714 TP_VSS_NCTF15      V PIN T2545.1
$112      -3.1050   -0.6081  2  D1   (B)  #1715 TP_VSS_NCTF16      V PIN T2546.1
$113      -3.1750   -0.6081  2  D1   (B)  #1719 TP_VSS_NCTF19      V PIN T2550.1
$114      -3.3000   -0.6131  1  D1   (B)  #1509 SB_SPICS0#         V VIA .
$115      -3.3750   -1.1181  1  D1   (B)  #1098 +VTT_PCH_VCCAPLL   V VIA .
$116      -3.3850   -1.2181  1  E1   (B)  #1763 PCH_GPIO0_R        V PIN T2596.1
$117      -3.3870   -1.3341  2  E1   (B)  #1479 CLKREQ1_TV#        V PIN T2108.1
$118      -3.3830   -1.4031  2  E1   (B)  #1622 N32989053          V PIN T2013.1
$119      -3.5450   -1.3881  1  E1   (B)  #1686 PM_SLP_DSW#        V PIN T2206.1
$120      -3.5450   -1.5031  1  E1   (B)  #1464 PCH_JTAG_TMS       V PIN T2004.1
$121      -3.3950   -1.5241  1  E1   (B)  #1462 PCH_JTAG_TCK       V PIN T2003.1
$122      -3.5420   -1.7481  2  E1   (B)  #1463 PCH_JTAG_TDO       V PIN T2009.1
$123      -3.5750   -1.8081  2  E1   (B)  #1731 TP_VSS_NCTF30      V PIN T2562.1
$124      -3.5800   -1.8781  2  E1   (B)  #1727 TP_VSS_NCTF27      V PIN T2558.1
$125      -3.5670   -1.9481  2  E1   (B)  #1728 TP_VSS_NCTF28      V PIN T2559.1
$126      -3.5800   -2.0381  2  E1   (B)  #1393 CLKREQ_PEG#        V VIA .
$127      -3.5100   -2.0131  2  E1   (B)  #1707 TP_VSS_NCTF8       V PIN T2538.1
$128      -3.4980   -1.9431  2  E1   (B)  #1706 TP_VSS_NCTF7       V PIN T2537.1
$129      -3.4400   -2.0381  2  E1   (B)  #1702 TP_VSS_NCTF3       V PIN T2533.1
$130      -3.2950   -2.0881  1  E1   (B)  #1328 N46477717          V VIA .
$131      -3.4340   -1.9681  2  E1   (B)  #1700 TP_VSS_NCTF1       V PIN T2531.1
$132      -3.3700   -1.9431  2  E1   (B)  #1516 PM_BATLOW#         V PIN T2201.1
$133      -3.2950   -1.9131  1  E1   (B)  #1221 +3VSUS_ORG         V VIA .
$134      -3.3000   -1.7881  2  E1   (B)  #1515 SML0_CLK           V PIN T2106.1
$135      -3.2170   -1.7861  2  E1   (B)  #1487 AUXPWROK_R         V VIA .
$136      -3.1480   -1.7931  2  E1   (B)  #1746 TP_PCH_SST         V PIN T2577.1
$137      -3.0450   -1.9031  1  E1   (B)  #1417 PM_RSMRST#_R       V VIA .
$138      -2.9620   -1.7821  2  E1   (B)  #1562 N812237            V VIA .
$139      -2.8940   -1.7721  2  E1   (B)  #1695 USB_PP5            V PIN T2411.1
$140      -2.8150   -1.7681  2  E1   (B)  #1620 USB_PP7            V PIN T2418.1
$141      -2.7250   -1.7751  2  E1   (B)  #1500 ACZ_SDOUT          V VIA .
$142      -2.6550   -1.7631  2  E2   (B)  #1501 ACZ_RST#           V VIA .
$143      -2.5890   -1.7921  2  E2   (B)  #1669 PCH_DRQ#0          V PIN T2005.1
$144      -2.7710   -1.8911  2  E1   (B)  #1472 USBRBIAS_PN        V VIA .
$145      -2.8300   -1.8361  2  E1   (B)  #1619 USB_PN7            V PIN T2417.1
$146      -2.8980   -1.8401  2  E1   (B)  #1694 USB_PN5            V PIN T2410.1
$147      -2.8340   -1.9201  2  E1   (B)  #1617 USB_PN3            V PIN T2415.1
$148      -2.7950   -1.9881  2  E1   (B)  #1618 USB_PP3            V PIN T2416.1
$149      -2.7950   -2.0981  1  E1   (B)  #1114 +5VSUS_PCH_VCC5REFSUS V VIA.
$150      -2.6150   -2.3031  2  F2   (B)  #1033 +VCC_RTC           V VIA .
$151      -2.6050   -2.3831  2  F2   (B)  #1497 N272988            V VIA .
$152      -2.6650   -2.6121  2  F2   (B)  #794  SMB_DAT_S          V VIA .
$153      -2.6900   -2.5481  2  F2   (B)  #625  CLK_PWRGD#         V PIN T8014.1
$154      -2.6700   -2.3581  2  F2   (B)  #285  CLKREQ_GLAN#       V VIA .
