 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Parts List              2502/2502  Selected Parts             26-January-2015 11:22
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'
PR8311        1.0577    8.5823    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8312        1.5027    8.6973    0.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8313        1.1127    8.5273  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8314        1.1977    8.5473  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8315        1.5127    8.4473  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8318        1.3427    8.5423  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8320        1.6527    8.4023    0.0  B2   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8321        1.2377    8.5423   90.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8322        1.3027    8.5423  270.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8323        1.1352    8.6598  180.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8326        1.5027    8.6573  180.0  B2   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8355        1.3177    8.8523   90.0  B2   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8401       -0.9673    4.7073  180.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8403       -1.0503    4.8423  270.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8407       -1.0503    4.7723  270.0  A4   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8501        2.1927   10.0573   90.0  B1   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8502        1.6827   10.0373    0.0  B1   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8503        1.7827    9.8723    0.0  B1   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8504        2.1127   10.0273    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8505        1.6027   10.0573   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8506        1.5627   10.1473   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8507        1.5227   10.0573  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8508        1.5627   10.0573   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8509        2.1527    9.6873   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8510        1.8752    9.7823   90.0  B1   (T)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8511        1.4677    9.9973    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8512        1.6902    9.7623  270.0  B1   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
PR8513        1.5077    9.4173    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8515        1.3777    9.9573  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8517        1.3777    9.9173    0.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8518        1.3777    9.9973  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8520        1.6132    9.7698  270.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8522        1.3077    9.8973   90.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8523        1.5427    9.7123  180.0  B1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8524        1.6027    9.3123   90.0  B1   (T)  'NBS_R0603_H24_000S_B', 'NBS_R0603_H24_000S_B'
