 n6_x550jx        Tebo-ICT,  license #xxxx ,                 User

 Parts List              2502/2502  Selected Parts             26-January-2015 11:22
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'
C3720        -1.1503    2.3573  270.0  A5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C3805         5.5927    7.2223  270.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C3806         5.6507    7.3923  270.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C3807         5.6427    7.2773  270.0  D2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C3808         5.6427    7.1673   90.0  D2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C3809         5.6927    7.4473  270.0  D2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C3810         5.6927    7.3423   90.0  D2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C4010        -0.1023    3.3923  270.0  A4   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C4011        -0.1923    3.3923  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4012        -0.1523    3.3923  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4023        -0.1723    3.3323  180.0  A5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4024        -0.1723    3.1223  180.0  A5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4057        -0.1723    3.1623  180.0  A5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4501         6.0457    9.6948  180.0  D1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C4502         5.6777    9.1473    0.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4503         6.2427    9.4548  180.0  D1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C4504         5.9527    9.3273  270.0  D1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C4505         5.9527    9.2273   90.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4506         5.9077    9.2273   90.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4507         5.5067    9.2473   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4508         5.6627    9.2073  270.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4509         5.8227   10.0683    0.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4510         5.8077   10.0133  180.0  D1   (T)  'NBS_C0805_H55_000S_B', 'NBS_C0805_H55_000S_B'
C4521         5.6727    9.6773  180.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4522         5.6577    9.3073    0.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4523         5.6577    9.2673    0.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4524         5.8652    9.2373   90.0  D1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C4525         5.8977    9.6273    0.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4526         5.8977    9.5873    0.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4527         5.8977    9.4323    0.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4528         5.8977    9.4698    0.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4529         5.5987    9.7253    0.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4530         5.8077    9.6273  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4531         5.8077    9.5873  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4532         5.8077    9.5473  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4533         5.8077    9.5073  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4534         5.6737    9.7253  180.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4538         5.8077    9.4323  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4539         5.8077    9.4698  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4601         5.8427   10.5923   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4602         5.7227   10.5923   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4604         5.8627   10.4273  180.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4605         5.8627   10.3873  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4606         5.4787   10.2593    0.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4607         5.4787   10.2193    0.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4608         5.5827   10.2023  270.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4609         5.8627   10.3073  180.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4610         5.4637   10.3283  270.0  D1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C4611         5.4407   10.6273    0.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4612         5.4527   10.4423    0.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4613         5.8627   10.3873  180.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4616         5.8027   10.5923   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4701         2.4177    2.7523    0.0  B5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4702         2.3352    2.4998  180.0  B5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4703         2.5252    2.5098    0.0  C5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4704         2.4487    2.5433    0.0  B5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4705         2.3367    2.3583    0.0  B5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4706         2.5477    2.3743  180.0  C5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4707         2.8577    2.4323  180.0  C5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4708         2.7977    2.6123  180.0  C5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4709         2.6277    2.4323    0.0  C5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4710         2.7077    2.6123    0.0  C5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4803         2.0177    2.0423  180.0  B5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4804         1.7877    2.3723   90.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4805         1.7477    2.3723   90.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4806         1.7077    2.3723   90.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4807         1.6677    2.3723   90.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4808         1.5777    2.3723   90.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4809         1.6177    2.3723   90.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4810         1.5377    2.3723   90.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4811         1.4977    2.3723   90.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4812         2.0277    2.0923  180.0  B5   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5002         2.7517    6.2563  270.0  C3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5005         4.0427    5.8423  311.0  C3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C5006         4.0877    5.8623  311.0  C3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5007         3.9677    5.7573  311.0  C3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5008         3.9977    5.7873  311.0  C3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5010         2.9487    6.2563   90.0  C3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5101         2.5177   10.5273  180.0  C1   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C5103         0.3377   10.4523   90.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5104         2.5427   10.5473   90.0  C1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5105         0.0377   10.4523   90.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5106        -0.0223   10.4523  270.0  A1   (T)  'NBS_C0805_H55_000S_B', 'NBS_C0805_H55_000S_B'
C5108         0.3977   10.4523  270.0  A1   (T)  'NBS_C0805_H55_000S_B', 'NBS_C0805_H55_000S_B'
C5109         0.4677   10.4523   90.0  B1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C5111         2.4627   10.4073   90.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5113         2.4877   10.5443   90.0  C1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C5114         2.3777   10.4173  180.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5301         1.6177    4.1123    0.0  B4   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5303         1.6377    4.1723    0.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5304         1.6377    3.3623    0.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5306         1.6177    3.4223  180.0  B4   (T)  'NBS_C0805_H55_000S_B', 'NBS_C0805_H55_000S_B'
C5308         1.6377    4.2123    0.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5309         1.6377    3.8023    0.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5340         1.6277    4.2373    0.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5407        -0.3323    2.4823   90.0  A5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5408        -0.3723    2.4823   90.0  A5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5409         0.1077    2.4823   90.0  A5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5410         0.0677    2.4823   90.0  A5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5451         0.1577    2.2023    0.0  A5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5452         0.0977    2.4323  180.0  A5   (T)  'NBS_C3528_H83_000S', 'NBS_C3528_H83_000S'
C5453         0.1477    2.2623  180.0  A5   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C5454         0.1477    2.3323  180.0  A5   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C5455        -0.2823    2.2123  180.0  A5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5456        -0.2823    2.4423    0.0  A5   (T)  'NBS_C3528_H83_000S', 'NBS_C3528_H83_000S'
C5457        -0.2923    2.2723    0.0  A5   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C5458        -0.2923    2.3423    0.0  A5   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C5602        -1.1123    4.1173    0.0  A4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5801        -0.0313    3.7973  270.0  A4   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5804         0.1092    3.6933  180.0  A4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5805         0.0217    3.7563   90.0  A4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5806        -0.1403    3.7283    0.0  A4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5807        -0.0663    3.6923    0.0  A4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6001         4.9127    6.6873  270.0  D3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6002         5.0627    6.7273  315.0  D3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6201         2.2977    2.2723    0.0  B5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6202         2.1577    2.0923    0.0  B5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6204         2.1577    2.0273    0.0  B5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6205         2.2977    2.2323  180.0  B5   (B)  'NBS_VARISTOR_2P_000', 'NBS_VARISTOR_2P_000'
C6206        -1.3023    2.8923    0.0  A5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6207         2.3077    1.9773    0.0  B5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6301         5.7577    7.8223    0.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6302         5.7577    7.7848    0.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6303         5.6802    7.7323    0.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6304         6.1152   10.1973    0.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6305         2.6502   10.6048  180.0  C1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6306         6.3002    8.9323  270.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6307         6.1152    7.9098  180.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6308         4.6177    6.0348    0.0  D3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6309         5.6652    8.5448    0.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6310         6.2702   10.2348   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6311         0.9852    9.6723  180.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6701        -1.3023    2.9323    0.0  A5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6702        -1.3173    2.9873    0.0  A5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6703        -1.0383    3.6423  180.0  A4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6705        -1.0273    4.1783  180.0  A4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6706        -1.3023    3.3623  180.0  A5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6707        -1.1723    2.9723  180.0  A5   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6801         3.4267    2.1183    0.0  C5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6802         3.3255    2.5459  180.0  C5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6803         3.3257    2.7033    0.0  C5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6804         3.3255    2.5859  180.0  C5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6811         3.3255    2.6259  180.0  C5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7010         1.5427    9.6323  180.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7012         3.9677    8.7433  270.0  C2   (B)  'NBS_C0805_H55_000S', 'NBS_C0805_H55_000S'
C7013         4.2267    8.5033  180.0  C2   (B)  'NBS_C0805_H55_000S', 'NBS_C0805_H55_000S'
C7014         4.0617    8.6383   90.0  C2   (B)  'NBS_C0805_H55_000S', 'NBS_C0805_H55_000S'
C7016         3.8327    8.7633   90.0  C2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7017         3.0977    8.5239  270.0  C2   (T)  'NBS_C0805_H55_000S_B', 'NBS_C0805_H55_000S_B'
C7026         3.1677    8.5239  270.0  C2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C7027         3.1677    8.6739   90.0  C2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C7028         3.0977    8.6739   90.0  C2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C7029         4.1277    8.6253   90.0  C2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C7032         3.9097    8.7683   90.0  C2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7033         3.1377    8.2189   90.0  C2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7035         4.0717    8.7733   90.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7043         4.0357    8.7733   90.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7047         4.1997    8.6713  270.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7049         3.7697    8.7383   90.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7050         4.2677    8.7603    0.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7052         4.2677    8.6573  180.0  C2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7053         3.1877    8.3789  270.0  C2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7060         3.1877    7.8973  180.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7061         3.1327    7.9589   90.0  C2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7067         3.6277    9.3103    0.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7068         4.1877    8.8263    0.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7069         4.1187    8.8193   90.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7071         3.1927    8.2189   90.0  C2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7097         3.1027    8.3939  270.0  C2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7104         3.8987    9.2763  270.0  C1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7111         4.2307    9.1433  180.0  C1   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C7112         2.9527   10.4423  180.0  C1   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C7120         3.9407    9.2448  270.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7122         4.1897    9.0163  180.0  C1   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C71232        4.2597    9.2783  180.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C71233        1.8427    2.5273    0.0  B5   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7125         4.1957    9.0803    0.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7132         4.1367    9.2663  270.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7135         4.1547    9.3243  180.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7137         4.0207    9.4543    0.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7138         3.8717    9.3653   90.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7192         3.7027    9.2703   90.0  C1   (B)  'NBS_C0805_H55_000S', 'NBS_C0805_H55_000S'
C7193         4.2307    9.2093  180.0  C1   (B)  'NBS_C0805_H55_000S', 'NBS_C0805_H55_000S'
C7194         4.0777    9.3233   90.0  C1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7195         3.7537    9.3765  270.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7196         4.2607    8.8223  180.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7197         4.2887    8.9803  180.0  C2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7198         3.6177    9.3639   90.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7199         3.9937    9.2833  270.0  C1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7201         5.3277    9.9643  270.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7203         4.8177    8.6333    0.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7205         4.8177    8.5573    0.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7224        -1.1203    2.1553  180.0  A5   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7235         5.4527    9.3073  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7236         5.4577    8.9239  180.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7237         5.4527    9.6873  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7238         5.4477    8.8239  270.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7242         5.0477    9.9923  270.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7243         5.1257    9.9929   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7245         5.3277    9.9673   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7246         4.8177    8.6333    0.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7248         5.2877    9.9639   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7249         5.4512    9.7963  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7251         4.8177    8.5939    0.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7252         5.4577    9.0439  180.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7253         5.4377    8.6373   90.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7254         5.4512    9.8323  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7255         4.8177    8.6703    0.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7256         4.8177    8.5939    0.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7257         5.0227    8.3539   90.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7258         5.4377    8.5123   90.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7259         5.4377    8.6373  270.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7260         4.8177    8.5573    0.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7261         5.4577    9.0439  180.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7262         5.0977    8.3539   90.0  D2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7263         5.4537    9.2653  180.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7264         5.0507    9.9929   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7265         5.0977    8.3589  270.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7266         5.4377    8.5123  270.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7267         5.3877    9.9639  270.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7268         5.0227    8.3589  270.0  D2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7269         5.1257    9.9929  270.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7270         5.2877    9.9639  270.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7303         4.5677   10.5549   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7304         4.6277   10.5549   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7305         4.1937    9.9263   90.0  C1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7306         4.6077   10.5549  270.0  D1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7307         4.2307    9.9263   90.0  C1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7309         3.2177   10.4049    0.0  C1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7310         3.3060   10.5643  270.0  C1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7311         4.1197    9.9263   90.0  C1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7312         4.1567    9.9263   90.0  C1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7313         3.3060   10.5654   90.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7314         4.5077   10.5549   90.0  D1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7315         4.1197    9.9403  270.0  C1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
