 RAINS-DIS_HR_HPC-MV_FINAL        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1481/9123 Selected Drills           9-Jan-2011 9:36
                       1481 Nails, 2670 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$303      -0.262    -2.301   2  A2   (T)  #1815 PCI_REQ#3        V VIA .
$304      -0.208    -2.414   3  A2   (T)  #1816 INT_PIRQH#       V VIA .
$305       0.014    -2.525   1  A3   (T)  #551  MDI3-            V VIA .
$306       0.017    -2.640   1  A3   (T)  #550  MDI2-            V VIA .
$307       0.023    -2.754   1  A3   (T)  #549  MDI1-            V VIA .
$308       0.142    -2.776   1  A3   (T)  #1744 N61703448        V VIA .
$309       0.023    -2.889   1  A3   (T)  #548  MDI0-            V VIA .
$310      -0.260    -2.927   1  A3   (T)  #1007 VREFD2_A0        V VIA .
$311      -0.250    -2.657   1  A3   (T)  #22   BT_OFF#_R1       V VIA .
$312      -0.205    -2.558   1  A3   (T)  #1797 CLK_33M_DEBUG    V VIA .
$313      -0.206    -2.488   3  A2   (T)  #1889 CLK_33M_DEBUG_R  V VIA .
$314      -0.245    -2.448   3  A2   (T)  #179  DGPU_PWR_EN#     V VIA .
$315      -0.351    -2.449   3  A2   (T)  #1902 IHDA_BITCLK      V VIA .
$316      -0.400    -2.460   3  A2   (T)  #1903 IHDA_RESET#      V VIA .
$317      -0.392    -2.296   1  A2   (T)  #1880 N20316278        V VIA .
$318      -0.475    -2.200   3  A2   (T)  #340  +V5S_PCH_VCC5REF V VIA .
$319      -0.529    -2.188   3  A2   (T)  #1726 +V3.3S_VCC_CLKF33 V VIA .
$320      -0.670    -2.187   1  A2   (T)  #1884 SM_INTRUDER#     V VIA .
$321      -0.455    -2.428   3  A2   (T)  #336  EXTSMI#_R        V VIA .
$322      -0.412    -2.625   1  A3   (T)  #1850 IHDA_SYNC        V VIA .
$323      -0.705    -2.656   1  A3   (T)  #341  +V5A_PCH_VCC5REFSUS V VIA .
$324      -0.632    -2.440   1  A2   (T)  #1727 SRTCRST#         V VIA .
$325      -0.820    -2.383   3  A2   (T)  #1720 RTCRST#          V VIA .
$326      -0.838    -2.333   3  A2   (T)  #1934 USB_OC#4         V VIA .
$327      -0.760    -2.275   2  A2   (T)  #1962 N40132727        V PIN TP188.1
$328      -0.823    -2.244   2  A2   (T)  #1931 USB_OC#1         V VIA .
$329      -0.770    -2.185   1  A2   (T)  #1843 N172825587       V VIA .
$330      -0.829    -2.062   2  A2   (T)  #59   SUS_PWR_ACK#_R   V VIA .
$331      -0.701    -2.021   2  A2   (T)  #1998 N40141222        T PIN TP81.1
$332      -0.715    -1.955   2  A2   (T)  #1995 N40141251        T PIN TP77.1
$333      -0.692    -1.603   3  A2   (T)  #1728 +VCCSUS1         V VIA .
$334      -0.734    -1.576   3  A2   (T)  #1729 +VCCA_USBSUS     V VIA .
$335      -0.856    -1.415   1  A2   (T)  #1975 N40141276        V PIN TP39.1
$336      -0.623    -1.364   3  A2   (T)  #1968 N40141278        T PIN TP26.1
$337      -0.584    -1.337   3  A2   (T)  #1965 N40145587        V PIN TP21.1
$338      -0.474    -1.343   1  A2   (T)  #1710 USB30_TXN1_C     V VIA .
$339      -0.544    -1.365   3  A2   (T)  #1970 N40141287        T PIN TP28.1
$340      -0.584    -1.391   3  A2   (T)  #1972 N40145589        T PIN TP33.1
$341      -0.623    -1.418   3  A2   (T)  #1973 N40145654        V PIN TP35.1
$342      -0.583    -1.445   3  A2   (T)  #1976 N40150068        T PIN TP40.1
$343      -0.622    -1.472   3  A2   (T)  #1978 N40145614        T PIN TP43.1
$344      -0.583    -1.500   3  A2   (T)  #1981 N40145643        V PIN TP47.1
$345      -0.507    -1.662   1  A2   (T)  #1724 VCCSSC           V VIA .
$346      -0.387    -1.634   1  A2   (T)  #1985 N40128544        T PIN TP58.1
$347      -0.315    -1.486   1  A2   (T)  #1873 N46866319        V VIA .
$348      -0.321    -1.579   3  A2   (T)  #100  HDMI_DET_3       V VIA .
$349      -0.309    -1.634   3  A2   (T)  #1986 N40132725        T PIN TP59.1
$350      -0.385    -1.726   3  A2   (T)  #1878 LVDS_IBG         V VIA .
$351      -0.449    -1.731   3  A2   (T)  #1989 LVDS_VBG         V PIN TP64.1
$352      -0.479    -1.786   3  A2   (T)  #1725 VCCDIFFCLKN      V VIA .
$353      -0.623    -1.948   2  A2   (T)  #1947 USB_PN7          T PIN TP200.1
$354      -0.570    -2.013   3  A2   (T)  #1855 HDA_DOCK_RST#    V VIA .
$355      -0.523    -2.011   3  A2   (T)  #1961 USB_PP11         T PIN TP184.1
$356      -0.452    -2.082   1  A2   (T)  #2000 N32431117        T PIN TP87.1
$357      -0.423    -1.962   1  A2   (T)  #1994 N173184685       T PIN TP74.1
$358      -0.313    -2.071   3  A2   (T)  #1787 REF_14M_PCH      V VIA .
$359      -0.354    -2.153   3  A2   (T)  #1836 GPIO17           V VIA .
$360      -0.392    -2.187   3  A2   (T)  #1879 N175119131       V VIA .
$361      -0.293    -2.128   3  A2   (T)  #1857 PCI_GNT#1        V VIA .
$362      -0.245    -2.200   3  A2   (T)  #21   PCI_REQ#2        V VIA .
$363      -0.238    -2.149   3  A2   (T)  #1851 DGPU_DDC_SELECT# V VIA .
$364      -0.173    -2.139   1  A2   (T)  #1890 CLKOUTLEX1       V VIA .
$365      -0.292    -1.929   2  A2   (T)  #1885 CRT_IREF         V VIA .
$366      -0.267    -1.811   1  A2   (T)  #1992 N40141249        V PIN TP68.1
$367      -0.195    -1.763   1  A2   (T)  #1990 N40141224        V PIN TP65.1
$368      -0.105    -1.792   2  A2   (T)  #1909 XCLK_RCOMP       V VIA .
$369      -0.064    -1.850   2  A2   (T)  #1699 +VCCA_DAC        V VIA .
$370       0.038    -1.940   3  A2   (T)  #1803 IGPU_G1          V VIA .
$371       0.023    -1.891   3  A2   (T)  #1805 IGPU_R1          V VIA .
$372      -0.112    -1.685   1  A2   (T)  #934  +1.05S_VCCA_CLK  V VIA .
$373      -0.063    -1.579   1  A2   (T)  #1721 +V1.05S_VCC_DMI_CCI V VIA .
$374       0.087    -1.577   3  A2   (T)  #111  MINI_TXN3_C      V VIA .
$375       0.139    -1.597   3  A2   (T)  #112  MINI_TXP3_C      V VIA .
$376       0.225    -1.715   1  A2   (T)  #33   IGPU_R           V VIA .
$377       0.288    -1.775   3  A2   (T)  #29   IGPU_G           V VIA .
$378       0.295    -1.828   3  A2   (T)  #31   IGPU_B           V VIA .
$379       0.360    -1.890   1  A2   (T)  #38   ATI_CRT_SCL      V VIA .
$380       0.486    -1.873   3  A2   (T)  #1808 IGPU_DDC_CLK1    V VIA .
$381       0.546    -1.886   3  A2   (T)  #1906 HSYNC13          V VIA .
$382       0.532    -1.940   3  A2   (T)  #35   VSYNC14_L        V VIA .
$383       0.591    -1.940   3  A2   (T)  #37   HSYNC13_L        V VIA .
$384       0.589    -1.776   1  A2   (T)  #1907 VSYNC14          V VIA .
$385       0.224    -1.593   3  A2   (T)  #500  CLK_PCIE_USB30#  V VIA .
$386       0.224    -1.543   3  A2   (T)  #499  CLK_PCIE_USB30   V VIA .
$387       0.008    -1.308   3  A2   (T)  #789  CR_TXN8          V VIA .
$388       0.008    -1.257   3  A2   (T)  #790  CR_TXP8          V VIA .
$389      -0.125    -1.185   2  A1   (T)  #437  +1_1VRUN_DPLLA   V VIA .
$390      -0.195    -1.179   2  A1   (T)  #438  +1_1VRUN_DPLLB   V VIA .
$391      -0.271    -1.378   3  A2   (T)  #1707 CR_TXN8_C        V VIA .
$392      -0.320    -1.367   3  A2   (T)  #1706 CR_TXP8_C        V VIA .
$393      -0.387    -1.365   1  A2   (T)  #1709 CR_RXN8          V VIA .
$394      -0.406    -1.276   1  A2   (T)  #1700 +VCC_TX_LVDS     V VIA .
$395      -0.435    -1.195   1  A1   (T)  #1711 USB30_TXP1_C     V VIA .
$396      -0.341    -1.048   3  A1   (T)  #488  USB30_TXN1       V VIA .
$397      -0.391    -1.048   3  A1   (T)  #490  USB30_TXP1       V VIA .
$398      -0.607    -1.001   3  A1   (T)  #1539 +V1.1S_VCCAPLL_DMI V VIA .
$399      -0.847    -1.187   3  A1   (T)  #933  +VCCAFDI_VRM     V VIA .
$400      -0.766    -1.021   3  A1   (T)  #1584 PCH_CPU_CLK      V VIA .
$401      -0.750    -0.969   3  A1   (T)  #1585 PCH_CPU_CLK#     V VIA .
$402      -0.701    -0.841   1  A1   (T)  #1791 N174941003       V VIA .
$403      -0.805    -0.802   3  A1   (T)  #1795 USB_PN13         V VIA .
$404      -0.805    -0.751   3  A1   (T)  #1794 USB_PP13         V VIA .
$405      -0.838    -0.616   3  A1   (T)  #332  N41800751        V VIA .
$406      -0.807    -0.564   3  A1   (T)  #1239 N80656182        V VIA .
$407      -1.297    -0.165   3  B1   (T)  #578  DMIC_DAT_L       V VIA .
$408      -1.297    -0.216   3  B1   (T)  #579  DMIC_CLK_L       V VIA .
$409      -1.496    -0.483   3  B1   (T)  #563  N39164218        V VIA .
$410      -1.851    -0.497   1  B1   (T)  #1541 INV_ENABLE_2     V VIA .
$411      -2.064    -0.373   1  B1   (T)  #575  INV_ENABLE       V VIA .
$412      -2.148    -0.316   1  B1   (T)  #576  INV_BRADJ        V VIA .
$413      -2.344    -0.384   1  B1   (T)  #577  N25507880        V VIA .
$414      -2.144    -0.466   3  B1   (T)  #1422 BL_OFF#          V VIA .
$415      -1.971    -0.712   1  B1   (T)  #1267 N97075414        V VIA .
$416      -1.979    -0.836   3  B1   (T)  #1860 N97045200        V VIA .
$417      -1.991    -0.887   3  B1   (T)  #1543 N26425339        V VIA .
$418      -1.832    -0.898   2  B1   (T)  #1542 MUX_VDD_EN       V VIA .
