 CHICAGO_HR_HPC_MV_MB_V1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1429/6711 Selected Drills           5-Mar-2011 8:40
                       1429 Nails, 2192 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$225      -3.818    -4.680   3  D4   (T)  #428  MEM_CALRP0       V VIA .
$226      -3.927    -4.742   1  D4   (T)  #340  GDDR_A_DQ11      V VIA .
$227      -3.961    -4.936   1  D4   (T)  #330  GDDR_A_DQS#1     V TEST .
$228      -4.040    -5.063   2  D5   (T)  #342  GDDR_A_DQ13      V VIA .
$229      -3.986    -5.110   2  D5   (T)  #367  GDDR_A_DQ8       V VIA .
$230      -3.841    -5.089   1  D5   (T)  #403  GDDR_A_DQS1      V TEST .
$231      -3.787    -5.162   3  D5   (T)  #339  GDDR_A_DQ10      V VIA .
$232      -3.770    -5.216   3  D5   (T)  #341  GDDR_A_DQ12      V VIA .
$233      -3.781    -5.319   1  D5   (T)  #433  GDDR_A_DM1       V VIA .
$234      -5.167    -4.907   2  E4   (T)  #383  GDDR_A_DQ53      V VIA .
$235      -5.161    -4.839   2  E4   (T)  #401  DRAM_RST         V VIA .
$236      -5.079    -4.883   1  E4   (T)  #384  GDDR_A_DQ54      V VIA .
$237      -5.091    -4.973   3  E4   (T)  #382  GDDR_A_DQ52      V VIA .
$238      -5.032    -4.950   3  E4   (T)  #440  GDDR_A_DM6       V VIA .
$239      -4.970    -4.977   2  D4   (T)  #377  GDDR_A_DQ48      V VIA .
$240      -4.919    -5.030   2  D5   (T)  #379  GDDR_A_DQ50      V VIA .
$241      -4.897    -5.097   2  D5   (T)  #335  GDDR_A_DQS#6     V TEST .
$242      -4.992    -5.055   1  D5   (T)  #408  GDDR_A_DQS6      V TEST .
$243      -5.063    -5.406   1  E5   (T)  #385  GDDR_A_DQ55      V VIA .
$244      -5.219    -5.411   1  E5   (T)  #325  CLKTESTA         V VIA .
$245      -5.196    -5.494   1  E5   (T)  #326  CLKTESTB         V VIA .
$257      -4.606    -7.572   1  D7   (T)  #539  ULVDS_DDC_DATA   V VIA .
