 N750JV-R21

 Parts List              0/2482 Selected Parts             24-Jun-2013 16:48
                                                          INCH units

Part     X       Y     Rot  Grid  T/B 'Device', 'Outline'
PJ8100                   6.643     4.110    0.0  D1   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8103                   7.673     4.598  180.0  C1   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8202                   3.625     0.155  180.0  E4   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8301                   3.713     1.820   90.0  E3   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8303                   4.623     1.943  270.0  E3   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8400                   2.983     1.318   90.0  F3   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8504                   7.465     2.792    0.0  C2   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8505                   7.435     2.528  270.0  C2   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8701                   9.328     1.325    0.0  B3   (B)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8801                   9.070    -0.243    0.0  B4   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8802                   9.035    -0.243  180.0  B4   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8803                   2.228     4.605  180.0  F1   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8804                   2.260     4.605    0.0  F1   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8805                   8.818    -0.293  180.0  B4   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJ8806                   8.783    -0.293    0.0  B4   (T)  'NB_PWR_FB_SHORT_PT', 'NB_PWR_FB_SHORT_PT'
PJP8001                  3.982     4.382    0.0  E1   (T)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8002                  5.900     4.660   90.0  D1   (T)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8101                  6.400     4.640  270.0  D1   (B)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8103                  7.695     4.408    0.0  C1   (T)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8104                  7.573     4.595   90.0  C1   (B)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8106                  7.695     4.238    0.0  C1   (T)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8200                  3.720     1.062   90.0  E3   (T)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8201                  3.453     0.262    0.0  E4   (B)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8202                  3.453     0.092    0.0  E4   (B)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8301                  3.660     1.445  180.0  E3   (T)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8302                  4.325     1.733  180.0  E3   (B)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8303                  4.325     1.903  180.0  E3   (B)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8400                  2.535     1.550    0.0  F3   (T)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
PJP8401                  2.818     1.305   90.0  F3   (B)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
PJP8501                  7.898     3.908    0.0  C1   (T)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8502                  7.898     3.735    0.0  C2   (T)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8601                  1.310     1.020   90.0  G3   (B)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
PJP8602                  1.395     1.515  270.0  G3   (B)  'NBS_1MM_OPEN_5MIL_000', 'NBS_1MM_OPEN_5MIL_000'
PJP8700                  9.555     1.510   90.0  B3   (T)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
PJP8801                  9.785    -0.050  270.0  B4   (B)  'NBS_3MM_OPEN_5MIL_002', 'NBS_3MM_OPEN_5MIL_002'
SW3101                   0.790     4.474  180.0  G1   (T)  'NBS_SW_6P_001C', 'NBS_SW_6P_001C'
SW6401                  11.807     2.109   90.0  A3   (B)  'NBS_SW_6P_001C', 'NBS_SW_6P_001C'
F4201                    0.233    -0.228   90.0  G4   (B)  'NBS_POLYSWITCH_2P_005', 'NBS_POLYSWITCH_2P_005'
F4801                    0.908     3.315  180.0  G2   (B)  'NBS_POLYSWITCH_2P_010', 'NBS_POLYSWITCH_2P_010'
F4901                    0.455     2.803    0.0  G2   (B)  'NBS_POLYSWITCH_2P_017', 'NBS_POLYSWITCH_2P_017'
F5201                    0.958     1.020    0.0  G3   (T)  'NBS_POLYSWITCH_2P_005', 'NBS_POLYSWITCH_2P_005'
F5202                    0.950     1.798    0.0  G3   (T)  'NBS_POLYSWITCH_2P_005', 'NBS_POLYSWITCH_2P_005'
F6501                   11.641     2.339  270.0  A2   (T)  'NBS_POLYSWITCH_2P_001', 'NBS_POLYSWITCH_2P_001'
