 N750JV-R21        FABMASTER (R)          licence #5039 TEST RESEARCH INC, 

 Test Fixture Nails    1551/1665 Selected Drills           24-Jun-2013 16:48
                       1551 Nails, 2125 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$271       7.598     2.080   2  C3   (T)  #1748 PCIENB_RXP8      V VIA .
$272       7.515     2.105   3  C3   (T)  #1750 PCIENB_RXN7      V VIA .
$273       7.420     2.120   1  C3   (T)  #1760 PCIENB_RXP5      V VIA .
$274       7.325     2.120   2  C3   (T)  #1772 PCIENB_RXP2      V VIA .
$275       7.358     2.050   1  C3   (T)  #1766 PCIENB_RXN3      V VIA .
$276       7.195     1.950   1  C3   (T)  #58   PCIE_WAKE#       V VIA .
$277       7.118     1.933   2  C3   (T)  #344  +PEX_VDD_DISCHRG V VIA .
$278       7.205     1.833   1  C3   (T)  #1908 N29932107        V VIA .
$279       7.100     1.505   1  C3   (T)  #1878 N1663289         V VIA .
$280       7.240     1.470   1  C3   (T)  #1873 +1.8VSG_IFPAB_IOVDD V VIA .
$281       7.395     1.505   1  C3   (T)  #1962 N29932105        V VIA .
$282       7.300     1.387   1  C3   (T)  #911  +3VSG_DACA_VDD   V VIA .
$283       7.230     1.015   2  C3   (T)  #2022 I2CB_SDA         V VIA .
$284       7.164     1.015   3  C3   (T)  #2018 I2CA_SDA         V VIA .
$285       7.101     1.015   3  C3   (T)  #2020 I2CC_SDA         V VIA .
$286       7.111     0.873   1  C3   (T)  #1416 DGPU_FB_CLAMP_REQ# V VIA .
$287       7.215     0.830   1  C3   (T)  #2099 ROM_CS#          V PIN T7601.1
$288       7.344     0.764   1  C3   (T)  #711  FBB_D0           V VIA .
$289       7.416     0.421   1  C4   (T)  #623  FBB_CMD10        V VIA .
$290       7.251     0.414   1  C4   (T)  #700  FBB_D11          V VIA .
$291       7.140     0.400   3  C4   (T)  #694  FBB_D9           V VIA .
$292       7.113     0.345   3  C4   (T)  #691  FBB_DQM1         V VIA .
$293       7.212     0.282   2  C4   (T)  #696  FBB_D10          V VIA .
$294       7.296     0.291   1  C4   (T)  #413  FBB_ZQ2          V VIA .
$295       7.380     0.324   1  C4   (T)  #698  FBB_D8           V VIA .
$296       7.485     0.373   3  C4   (T)  #614  FBB_CMD9         V VIA .
$297       7.530     0.420   3  C4   (T)  #615  FBB_CMD11        V VIA .
$298       7.585     0.275   3  C4   (T)  #663  FBB_CMD13        V VIA .
$299       7.603     0.340   1  C4   (T)  #632  FBB_CMD15        V VIA .
$300       7.628     0.420   2  C4   (T)  #659  FBB_CMD30        V VIA .
$301       7.720     0.428   3  C4   (T)  #625  FBB_CMD22        V VIA .
$302       7.888     0.845   3  C3   (T)  #392  FB_CAL_TERM      V VIA .
$303       7.890     0.785   3  C3   (T)  #393  FB_CAL_PU        V VIA .
$304       7.778     0.424   3  C4   (T)  #728  FBB_D40          V VIA .
$305       7.848     0.282   1  C4   (T)  #730  FBB_D42          V VIA .
$306       7.676     0.190   2  C4   (T)  #616  FBB_CMD29        V VIA .
$307       7.626     0.135   3  C4   (T)  #618  FBB_CMD28        V VIA .
$308       7.674     0.099   3  C4   (T)  #624  FBB_CMD24        V VIA .
$309       7.643    -0.057   1  C4   (T)  #626  FBB_CMD7         V VIA .
$310       7.645    -0.149   1  C4   (T)  #630  FBB_CMD27        V VIA .
$311       7.914    -0.268   2  C4   (T)  #405  FBB_CLK1#        V VIA .
$312       7.840    -0.264   2  C4   (T)  #689  FBBVREF3         V VIA .
$313       7.350    -0.273   3  C4   (T)  #658  FBB_CMD2         V VIA .
$314       7.290    -0.260   3  C4   (T)  #662  FBBVREF1Q        V VIA .
$315       7.198    -0.270   1  C4   (T)  #404  FBB_CLK0         V VIA .
$316       6.911    -0.001   2  D4   (T)  #693  FBB_D12          V VIA .
$317       6.887     0.065   2  D4   (T)  #695  FBB_D15          V VIA .
$318       6.869     0.135   3  D4   (T)  #699  FBB_D14          V VIA .
$319       6.852     0.190   3  D4   (T)  #697  FBB_D13          V VIA .
$320       6.670     0.543   3  D3   (T)  #291  ROM_SCLK         V VIA .
$321       6.670     0.689   3  D3   (T)  #391  STRAP2           V VIA .
$322       6.670     0.740   3  D3   (T)  #292  STRAP0           V VIA .
$323       6.670     0.800   3  D3   (T)  #294  STRAP1           V VIA .
$324       6.670     1.005   3  D3   (T)  #293  STRAP3           V VIA .
$325       6.676     1.059   3  D3   (T)  #2019 I2CA_SCL         V VIA .
$326       6.676     1.110   3  D3   (T)  #2021 I2CC_SCL         V VIA .
$327       6.676     1.165   3  D3   (T)  #2023 I2CB_SCL         V VIA .
$328       6.660     1.525   1  D3   (T)  #1964 GPU_RST#         V VIA .
$329       6.548     1.525   1  D3   (T)  #1963 GPU_RST#_R       V VIA .
$330       6.608     1.359   1  D3   (T)  #1413 DGPU_RST#        V VIA .
$331       6.575     0.980   1  D3   (T)  #1417 DGPU_FB_CLAMP_GPIO V VIA .
$332       6.620     0.709   3  D3   (T)  #1259 STRAP4           V VIA .
$333       6.648     0.640   3  D3   (T)  #290  ROM_SO           V VIA .
$334       6.648     0.589   3  D3   (T)  #416  ROM_SI           V VIA .
$335       6.589     0.309   1  D4   (T)  #1648 Q7701_GATE       V VIA .
$336       6.720    -0.100   1  D4   (T)  #1420 DGPU_FBVDDQ_DSG  V VIA .
$337       6.430    -0.162   1  D4   (T)  #1329 U3_U3TXDN4       V VIA .
$338       6.415    -0.285   2  D4   (T)  #1325 U3_U3TXDN3       V VIA .
$339       6.430    -0.364   1  D4   (T)  #1322 U3_U3RXDP3       V VIA .
$340       6.153    -0.605   2  D4   (T)  #1324 U3_U3TXDP3       V VIA .
$341       6.169    -0.535   2  D4   (T)  #1323 U3_U3RXDN3       V VIA .
