 X450VC-MB-R20        FABMASTER (R)          licence #5039 TEST RESEARCH INC, 

 Test Fixture Nails    1311/1464 Selected Drills           25-Feb-2013 8:59
                       1311 Nails, 1633 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$102       2.792     0.830   2  3A   (T)  #1129 RF_SW#           V VIA .
$103       2.940     0.920   2  3A   (T)  #508  LPC_AD0          V VIA .
$104       2.960     0.850   2  3A   (T)  #509  LPC_AD1          V VIA .
$105       3.004     0.765   1  3A   (T)  #511  LPC_AD3          V VIA .
$106       2.910     0.730   2  3A   (T)  #1555 LPC_AD0_EC       V VIA .
$107       2.880     0.675   3  3A   (T)  #1554 LPC_AD1_EC       V VIA .
$108       2.865     0.625   3  3A   (T)  #1552 LPC_AD3_EC       V VIA .
$109       2.825     0.660   3  3A   (T)  #1553 LPC_AD2_EC       V VIA .
$110       2.795     0.756   2  3A   (T)  #954  VCORE_EC         V VIA .
$111       1.980     0.825   1  4A   (T)  #139  EC_GPJ5          V VIA .
$112       2.045     0.909   2  4A   (T)  #27   EC_AGND          V VIA .
$113       2.038     0.981   2  4A   (T)  #1608 P_CHG_OUTC1_EC_10 V PIN T3027.1
$114       2.024     1.050   3  4A   (T)  #137  EC_GPI4          V VIA .
$115       1.970     1.075   3  4A   (T)  #1382 MB_MAX_POWER     V VIA .
$116       2.135     1.144   1  4A   (T)  #1607 USBCHG_SET       V PIN T3024.1
$117       1.980     1.200   1  4A   (T)  #136  5VSUS_PWRGD      V VIA .
$118       1.794     1.005   2  4A   (T)  #24   +3VA_EC          V VIA .
$119       1.790     0.930   2  4A   (T)  #25   +3VACC           V VIA .
$120       1.895     0.860   1  4A   (T)  #1624 N20965418        V PIN T3021.1
$121       1.868     0.743   1  4A   (T)  #1614 VCCP_DV0         V PIN T3004.1
$122       1.905     0.659   1  4A   (T)  #1615 EC_GPF3          V PIN T3005.1
$123       1.770     0.630   1  4A   (T)  #41   +3VS             V VIA .
$124       1.896     0.490   2  4A   (T)  #140  ME_SUSPWRDNACK   V VIA .
$125       1.940     0.550   2  4A   (T)  #126  LCD_BACKOFF#     V VIA .
$126       2.049     0.518   2  4A   (T)  #127  EC_GPH2          V VIA .
$127       2.054     0.444   2  4A   (T)  #133  EC_GPH5          V VIA .
$128       2.143     0.518   1  4A   (T)  #130  SPI_CLK          V VIA .
$129       2.169     0.454   3  4A   (T)  #1622 CLK_STRAP0       V PIN T3029.1
$130       2.282     0.450   3  4A   (T)  #396  SCK_EC           V VIA .
$131       2.332     0.463   3  4A   (T)  #123  ME_AC_PRESENT_L  V VIA .
$132       2.383     0.463   3  4A   (T)  #125  DGPU_LIMIT_EC    V VIA .
$133       2.465     0.460   1  4A   (T)  #1461 SMB1_DAT         V VIA .
$134       2.545     0.460   2  3A   (T)  #1613 FB_CLAMP_EC      V VIA .
$135       2.638     0.456   1  3A   (T)  #1625 NUM_LED#         V PIN T3015.1
$136       2.730     0.508   1  3A   (T)  #1609 USB_CHARGE_ON#   V PIN T3022.1
$137       2.815     0.475   1  3A   (T)  #1132 A20GATE          V VIA .
$138       2.910     0.490   1  3A   (T)  #955  RCIN#            V VIA .
$139       3.010     0.610   1  3A   (T)  #324  PM_RSMRST#       V VIA .
$140       3.250     0.685   1  3A   (T)  #1502 U3_U3TXDN2_PCH   V VIA .
$141       3.354     0.742   1  3A   (T)  #1500 U3_U3RXDN2_PCH   V VIA .
$142       5.210     0.595   1  2A   (T)  #512  GND_IO           V VIA .
$143       5.540     1.493   3  2A   (T)  #799  M_B_A9           V VIA .
$144       5.605     1.500   1  2A   (T)  #795  M_B_A5           V VIA .
