 3.1        Tebo-ICT,  license #willjames
PR8532       -2.3516   -0.2250  270.0  B3   (T)  'NBS_R1206_H30_000S_B', 'NBS_R1206_H30_000S_B'
PR8533       -1.8996   -0.9945    0.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8534       -1.8196   -1.1055  270.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8535       -1.8996   -1.0305  180.0  B3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8536       -3.0745   -1.2005   90.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8537       -2.8645   -1.2355  270.0  A3   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8801       -5.0695    2.8545  270.0  A1   (T)  'NBS_R0402_H16_000S_B', 'NBS_R0402_H16_000S_B'
PR8805       -0.6096   -2.0805   90.0  B3   (B)  'NBS_R1206_H30_000S', 'NBS_R1206_H30_000S'
PR8806       -4.9966    2.6605   90.0  A1   (T)  'NBS_R0612_H28_000S', 'NBS_R0612_H28_000S'
PR8807       -0.3796   -2.4905   90.0  B4   (T)  'NBS_R0612_H28_000S', 'NBS_R0612_H28_000S'
PR8808       -0.7546   -1.7745    0.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8809       -0.7546   -1.7355  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8810       -0.3595   -2.6355    0.0  B4   (T)  'NBS_R0612_H35_000S', 'NBS_R0612_H35_000S'
PR8812       -0.6595   -1.5055  270.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8813       -0.7396   -1.6755  270.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8814       -0.6745   -1.5755  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8815       -0.6745   -1.6155  180.0  B3   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
PR8817       -0.9776   -2.7305  270.0  B4   (B)  'NBS_R0402_H16_000S', 'NBS_R0402_H16_000S'
