 3.1        Tebo-ICT,  license #willjames
C4726        -2.8645    3.1845   90.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4728        -2.7245    3.5545    0.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4729        -2.7805    3.1735  270.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4731        -2.6696    3.1395  270.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4734        -2.7996    3.5545    0.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4736        -2.8165    3.1735  270.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4737        -2.7056    3.1395  270.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4901        -2.0646    3.2045   90.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4902        -2.3146    3.5545   90.0  B1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C4903        -2.3796    3.6895  180.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4904        -2.4596    3.4545   90.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4905        -2.2146    3.4320  270.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4906        -2.1786    3.4320  270.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4907        -2.0600    3.4320  270.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4908        -2.0240    3.4320  270.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4909        -2.1419    3.4323  270.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4910        -2.1061    3.4320  270.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4911        -1.9881    3.4320  270.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4912        -1.9521    3.4320  270.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C4913        -2.3596    3.6445    0.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C4914        -2.2845    3.6445  180.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5001        -2.1246   -2.1105    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5002        -2.1096   -2.1915  270.0  B3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5003        -2.1395   -2.3305    0.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5004        -2.1395   -2.2905    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5005        -3.1646    0.6945    0.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5006        -2.0486   -2.1955   90.0  B3   (B)  'NBS_C0805_H55_000S', 'NBS_C0805_H55_000S'
C5111        -1.8796   -3.8205  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5112        -0.9596   -3.8780  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5113        -0.9996   -3.8780  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5114        -1.4715   -3.8455  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5116        -1.6045   -3.8455  270.0  B4   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C5117        -1.5446   -3.8555  270.0  B4   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C5118        -0.8546   -3.8780  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5119        -0.8146   -3.8780  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5203        -1.4146    3.4645   90.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5204        -1.3785    3.4645   90.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5205        -1.7046    3.3795  180.0  B1   (T)  'NBS_C1206_H83_000S', 'NBS_C1206_H83_000S'
C5209        -1.4846    3.5645  180.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5213        -1.4995    3.5130    0.0  B1   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C5214        -1.4995    3.4470    0.0  B1   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C5301        -1.1686   -3.8105   90.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5302        -1.2066   -2.7405  270.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5303        -0.8136   -2.7905   90.0  B4   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5304        -1.2046   -3.8105   90.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5305        -1.1045   -2.7405  270.0  B4   (B)  'NBS_C0805_H55_000S', 'NBS_C0805_H55_000S'
C5306        -0.7296   -3.1005  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5502        -0.6096    3.6685   90.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5503        -0.8246    3.6695   90.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5504        -0.5696    3.5775  270.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5505        -0.4446    3.6345  180.0  B1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C5507        -0.4895    3.6765    0.0  B1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5508        -0.8105    3.5415   90.0  B1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5509        -0.8716    3.6535   90.0  B1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C5510        -0.9195    3.6545   90.0  B1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5529        -0.4895    3.7265    0.0  B1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5530        -0.9245    3.5145  270.0  B1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C5601        -5.0145    2.8395  180.0  A1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5603        -5.1296    2.8395    0.0  A1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C5805        -0.3496   -1.1605  180.0  B3   (T)  'NBS_C0201_H13_000S_B', 'NBS_C0201_H13_000S_B'
C5850        -0.5471   -3.7355  180.0  B4   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C6401        -4.5446   -2.3155  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6402        -4.4996   -2.3105   90.0  A4   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C6403        -4.4395   -2.3055   90.0  A4   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C6404        -4.3195   -2.6705  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6405        -4.2745   -2.6655  270.0  A4   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C6406        -3.1896   -2.1655  270.0  A3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6407        -3.2296   -2.1655  270.0  A3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6408        -3.3396   -2.1655  270.0  A3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6409        -3.3796   -2.1655  270.0  A3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6601        -4.5840   -3.1819  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6602        -4.5444   -3.3805    0.0  A4   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C6603        -3.5844   -3.6905  270.0  A4   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C6604        -4.7050   -3.1669   90.0  A4   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C6605        -4.6370   -3.1669   90.0  A4   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C6606        -3.6644   -3.5355   90.0  A4   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C6607        -3.6644   -3.6655  270.0  A4   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C6608        -3.3444   -3.5455  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6609        -3.1354   -3.5805  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6610        -3.1744   -3.5655  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6611        -3.1844   -3.6835  180.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6612        -3.1844   -3.6335  180.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6613        -3.1224   -3.8605   90.0  A4   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C6614        -3.0804   -3.8595   90.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6615        -2.8994   -3.8455   90.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6616        -3.1644   -3.7455  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6617        -3.1644   -3.8155   90.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6618        -2.9964   -3.8755   90.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6619        -3.2144   -3.5655  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6620        -2.9514   -3.8715   90.0  A4   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C6621        -2.8044   -3.7705  180.0  A4   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C6622        -2.8144   -3.7255  180.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6623        -3.0444   -3.8585   90.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6624        -2.9044   -3.5205   90.0  A4   (T)  'NBS_C0201_H13_000S_B', 'NBS_C0201_H13_000S_B'
C6625        -2.9094   -3.3455  180.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6626        -3.1151   -3.2409  180.0  A4   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C6627        -3.1051   -3.2859  180.0  A4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6628        -2.6444   -3.3105  180.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6629        -2.6144   -3.3705  270.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6630        -2.2164   -3.5065  270.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6631        -2.2524   -3.5065  270.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6633        -2.5246   -3.3855    0.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6634        -2.4744   -3.4805   90.0  B4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6635        -2.7794   -3.3705  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6636        -2.7094   -3.3705  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6637        -3.4394   -3.3905  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6638        -3.3796   -3.3725  270.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6640        -3.3044   -3.5455   90.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6641        -3.3205   -3.3615   90.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6642        -3.5494   -3.4005  180.0  A4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6643        -3.3544   -3.2055    0.0  A4   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6701        -4.8945    2.2845    0.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6902        -0.2995   -2.7945   90.0  B4   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6903        -2.9695   -1.3105  270.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6904        -3.5145    3.0445  180.0  A1   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6905        -2.1536   -2.0295    0.0  B3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6906        -5.1996   -1.2905  270.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6907        -3.9945    1.8745  180.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6908        -0.9005   -0.3375  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6909        -0.9005   -0.3005  180.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6910        -0.9906   -0.2845  270.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6911        -4.8536    1.5005   90.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6913        -2.9646    2.7045   90.0  A1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6914        -0.6645   -1.9705    0.0  B3   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6918        -4.0396    1.7345  180.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6921        -2.0356    2.8465   90.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6922        -1.7106    2.8455   90.0  B1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C6923        -2.9246    2.7025  270.0  A1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C6924        -1.3016    2.7475  270.0  B1   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C6925        -2.3775    2.8465   90.0  B1   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C6926        -2.6326    2.8445   90.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C6927        -2.2245    1.9795    0.0  B2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6928        -1.9246    1.9985  180.0  B2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6929        -1.6025    1.5095  180.0  B2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6930        -2.3295    1.4955    0.0  B2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C6931        -1.4346    2.8195   90.0  B1   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7009        -3.6155    0.0725   90.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7010        -3.8996   -0.0405  270.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7011        -3.6595    0.0725  270.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7012        -3.5676    0.2325  270.0  A2   (B)  'NBS_C0805_H37_000S', 'NBS_C0805_H37_000S'
C7013        -3.8346   -0.0415   90.0  A3   (B)  'NBS_C0805_H37_000S', 'NBS_C0805_H37_000S'
C7014        -3.7026    0.2325  270.0  A2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C7015        -3.6345    0.2325  270.0  A2   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C7016        -3.5776    0.0725   90.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7017        -3.9915    0.1577    0.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7018        -4.0526   -0.3825  180.0  A3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7019        -3.7645   -0.0415   90.0  A3   (B)  'NBS_C0805_H37_000S', 'NBS_C0805_H37_000S'
C7020        -3.6946   -0.0415   90.0  A3   (B)  'NBS_C0805_H37_000S', 'NBS_C0805_H37_000S'
C7021        -4.0420   -0.3258  180.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C7022        -3.6275   -0.0415   90.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C7023        -4.0065   -0.4305    0.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7024        -4.0266   -0.4725  180.0  A3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7025        -4.0266   -0.5205  180.0  A3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7026        -3.9406   -0.2135  180.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7027        -3.9945   -0.2325  270.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7028        -4.0426   -0.1165  180.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C7029        -3.8996    0.0295   90.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7030        -4.0195   -0.1735    0.0  A3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7101        -4.3530    0.0402   90.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7102        -4.1885    0.0237  270.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7103        -4.1136    0.0185  180.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7104        -4.2736    0.0565    0.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7105        -4.0465   -0.0365  180.0  A3   (B)  'NBS_C0805_H57_000S', 'NBS_C0805_H57_000S'
C7225        -4.7446    1.4995  270.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7226        -3.6296    1.3145  180.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7227        -4.4946    1.4795  270.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7228        -3.9246    1.6535   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7229        -3.6296    1.3145  180.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7230        -3.6296    1.1595  180.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7231        -3.8746    1.6535   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7232        -4.7446    1.4895   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7233        -3.9446    1.3695   90.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7234        -3.9745    1.6535   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7235        -4.4946    1.4795   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7236        -3.6296    1.2645  180.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7237        -3.6296    1.2645  180.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7238        -4.5945    1.4795   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7239        -4.7946    1.4895   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7240        -4.9146    1.1745    0.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7241        -4.4445    1.4795  270.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7242        -4.9196    0.9645    0.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7243        -4.5446    1.4795  270.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7244        -4.0746    1.3695   90.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7245        -4.5945    1.4795  270.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7246        -4.9146    1.2245    0.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7247        -4.0796    1.6535   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7248        -4.9146    1.1745    0.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7249        -4.5446    1.4795   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7250        -3.6296    1.2095  180.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7251        -4.9096    0.8095    0.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7252        -4.9046    0.7645    0.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7253        -4.9046    0.7645    0.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7254        -3.6446    0.8845  180.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7255        -3.6446    1.0995  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7256        -3.6446    0.7845  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7257        -4.9046    1.1245    0.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7258        -3.6446    0.9245  180.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7259        -3.6446    0.9445  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7260        -4.6945    1.4945  270.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7261        -3.6446    1.1795  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7262        -3.6446    1.2195  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7263        -3.6446    1.1395  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7264        -3.6446    0.8645  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7265        -3.6446    0.9045  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7266        -3.6446    0.8445  180.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7267        -4.9036    0.9275    0.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7268        -4.6596    1.4345    0.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7269        -4.1965    1.3527   90.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7270        -3.9985    1.3527   90.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7301        -4.5275   -0.3325    0.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7302        -4.5896   -0.6155   90.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7303        -4.0396   -0.6245    0.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7304        -4.0465   -0.5685  180.0  A3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7305        -4.4755   -0.3823   90.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7306        -3.6415    1.1137  180.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7307        -4.9096    0.8095    0.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7308        -3.6446    0.8245  180.0  A2   (T)  'NBS_C0402_H22_000S_B', 'NBS_C0402_H22_000S_B'
C7309        -3.6446    0.8045  180.0  A2   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7310        -4.7946    1.4995   90.0  A2   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7311        -4.0275    1.6535   90.0  A2   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7312        -3.7746    1.3595    0.0  A2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C7313        -4.9295    0.7045  180.0  A2   (T)  'NBS_C0805_H57_000S_B', 'NBS_C0805_H57_000S_B'
C7314        -4.1415   -0.1398  180.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7315        -4.1425   -0.1763  180.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7316        -4.3665   -0.3493  180.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7317        -4.3700   -0.1893  180.0  A3   (B)  'NBS_C0402_H22_000S', 'NBS_C0402_H22_000S'
C7318        -4.1355   -0.0668  270.0  A3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7319        -4.1830   -0.0668  270.0  A3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
C7320        -2.9490   -0.3172   90.0  A3   (T)  'NBS_C0603_H37_000S_B', 'NBS_C0603_H37_000S_B'
C7321        -4.3639   -0.2385    0.0  A3   (B)  'NBS_C0603_H37_000S', 'NBS_C0603_H37_000S'
