 3.1        Tebo-ICT,  license #willjames

 Test Fixture Nails     1172/1172  Selected Drills           13-November-2015 08:56
                        1172 Nails,  2148 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$203      -4.5305   -0.5213  2  A3   (B)  #81   N63123608          V VIA .
$204      -4.4596   -0.5375  2  A3   (B)  #82   N63123627          V VIA .
$205      -4.4125   -0.6633  3  A3   (B)  #1165 GPIO_FB_CLAMP_GPU  V VIA .
$206      -4.4695   -0.6413  2  A3   (B)  #1174 STRAP3             V VIA .
$207      -4.6875   -0.5665  3  A3   (B)  #1317 MEM_VREF_CTL       V VIA .
$208      -4.7066   -0.6505  3  A3   (B)  #1225 N46328777          V VIA .
$209      -4.7496   -0.6075  2  A3   (B)  #1316 3D_VISION          V VIA .
$210      -5.1146   -0.6805  1  A3   (B)  #1183 SYS_PEX_RST_MON_   V VIA .
$211      -5.1780   -0.9830  1  A3   (B)  #1064 DGPU_PWRON_15V     V VIA .
$212      -4.9695   -0.9355  1  A3   (B)  #1187 GPU_PEX_RST_HOLD_  V VIA .
$213      -4.2795   -0.6803  1  A3   (B)  #389  +1_1VSG_PLLVDD     V VIA .
$214      -3.8659   -0.5623  2  A3   (B)  #1163 PEX_CLKREQ_        V VIA .
$215      -3.8906   -0.4915  3  A3   (B)  #1406 N63228055          V VIA .
$216      -3.9415   -0.3893  1  A3   (B)  #1164 TESTMODE           V VIA .
$217      -3.8996   -0.3175  3  A3   (B)  #441  PCIEG_TXP1         V VIA .
$218      -3.9095   -0.2515  1  A3   (B)  #449  PCIEG_TXP3         V VIA .
$219      -3.9036   -0.1065  1  A3   (B)  #382  PEX_PLL_VDD        V VIA .
$220      -3.8495   -0.1805  1  A3   (B)  #447  PCIEG_TXN3         V VIA .
$221      -3.7746   -0.2305  2  A3   (B)  #443  PCIEG_TXN2         V VIA .
$222      -3.7685   -0.2965  3  A3   (B)  #431  PCIEG_RXN3         V VIA .
